"Longitude","Latitude","Country","Village","Species","NumPosAg","NumTestAg","PropAg","NumPosAb","NumTestAb","PropAb","Source","DiagnosticMethod","Target","Human_Random_Survey","TotTest","TotPos","ArenaStat"
-14.04674037,11.07362135,"Guinea","Hamdalaye","Homo sapiens",NA,NA,NA,5,102,0.0490196078431373,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,102,5,1
-14.21815628,10.41784783,"Guinea","Walia","Homo sapiens",NA,NA,NA,6,160,0.0375,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,160,6,1
-9.727059671,11.73676311,"Guinea","Balato","Homo sapiens",NA,NA,NA,27,150,0.18,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,150,27,1
-10.36472682,8.642101563,"Guinea","Dawa Bombolo","Homo sapiens",NA,NA,NA,31,65,0.476923076923077,"Lukashevich_Clegg_1993","ELISA","IgG",TRUE,65,31,1
-11.93,9.18,"Sierra Leone","Kamabunyele","Homo sapiens",NA,NA,NA,17,118,0.144067796610169,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,118,17,1
-12.23,9.5,"Sierra Leone","Kathumpe","Homo sapiens",NA,NA,NA,9,88,0.102272727272727,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,88,9,1
-11.07,8.23,"Sierra Leone","Bomie","Homo sapiens",NA,NA,NA,62,617,0.100486223662885,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,617,62,1
-11.07,8.23,"Sierra Leone","Landoma","Homo sapiens",NA,NA,NA,17,157,0.10828025477707,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,157,17,1
-11.02,8.1,"Sierra Leone","Konia","Homo sapiens",NA,NA,NA,271,733,0.369713506139154,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,733,271,1
-11.07,8.22,"Sierra Leone","Kpandebu","Homo sapiens",NA,NA,NA,87,578,0.150519031141869,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,578,87,1
-11.03,8.22,"Sierra Leone","Lowoma","Homo sapiens",NA,NA,NA,37,285,0.129824561403509,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,285,37,1
-11,8.12,"Sierra Leone","Neama","Homo sapiens",NA,NA,NA,16,105,0.152380952380952,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,105,16,1
-11.07,8,"Sierra Leone","Niahun","Homo sapiens",NA,NA,NA,204,1075,0.189767441860465,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,1075,204,1
-11.05,8.23,"Sierra Leone","Njakundoma","Homo sapiens",NA,NA,NA,48,242,0.198347107438017,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,242,48,1
-11.05,8.22,"Sierra Leone","Palima","Homo sapiens",NA,NA,NA,113,217,0.52073732718894,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,217,113,1
-11.05,8.22,"Sierra Leone","Tongola","Homo sapiens",NA,NA,NA,125,402,0.310945273631841,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,402,125,1
-10.87,8.02,"Sierra Leone","Semewabu","Homo sapiens",NA,NA,NA,141,372,0.379032258064516,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,372,141,1
-11.169823,8.714835,"Sierra Leone","Yengema","Homo sapiens",NA,NA,NA,9,109,0.0825688073394495,"McCormick_Webb_1987","IFA, Isolation","IgG, IgM",TRUE,109,9,1
-2.621978022,10.25123328,"Ghana","Natorduori","Homo sapiens",NA,NA,NA,4,70,0.0571428571428571,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,70,4,1
-1.628571429,9.545748318,"Ghana","Bowena","Homo sapiens",NA,NA,NA,0,70,0,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,70,0,0
-0.362637363,10.39394094,"Ghana","Teanoba","Homo sapiens",NA,NA,NA,2,70,0.0285714285714286,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,70,2,1
-0.327472527,8.344660549,"Ghana","Jirandogo","Homo sapiens",NA,NA,NA,2,70,0.0285714285714286,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,70,2,1
-2.323076923,7.115996883,"Ghana","Amomaso","Homo sapiens",NA,NA,NA,0,70,0,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,70,0,0
-1.778021978,6.168359282,"Ghana","Ankaakur","Homo sapiens",NA,NA,NA,5,31,0.161290322580645,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,31,5,1
-0.828571429,6.444156422,"Ghana","Ehiawenwu","Homo sapiens",NA,NA,NA,10,67,0.149253731343284,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,67,10,1
-1.417582418,10.62199074,"Ghana","Doninga","Homo sapiens",NA,NA,NA,2,70,0.0285714285714286,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,70,2,1
-1.654945055,7.96548719,"Ghana","Mangoase","Homo sapiens",NA,NA,NA,2,69,0.0289855072463768,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,69,2,1
-0.608791209,7.667991921,"Ghana","Menkwo","Homo sapiens",NA,NA,NA,7,70,0.1,"Nimo-Paintsil_Fichet-Calvet_2019","ELISA","IgG",TRUE,70,7,1
-7.155833,10.58917,"Mali","Bamba","Homo sapiens",NA,NA,NA,88,200,0.44,"Sogoba_Rosenke_2016","ELISA","IgG",TRUE,200,88,1
-7.151667,10.38306,"Mali","Banzana","Homo sapiens",NA,NA,NA,29,200,0.145,"Sogoba_Rosenke_2016","ELISA","IgG",TRUE,200,29,1
-7.248056,10.52389,"Mali","Soromba","Homo sapiens",NA,NA,NA,82,200,0.41,"Sogoba_Rosenke_2016","ELISA","IgG",TRUE,200,82,1
-7.155833,10.58917,"Mali","Bamba","Homo sapiens",NA,NA,NA,2,200,0.01,"Sogoba_Rosenke_2016","ELISA","IgM",TRUE,200,2,1
-7.151667,10.38306,"Mali","Banzana","Homo sapiens",NA,NA,NA,1,200,0.005,"Sogoba_Rosenke_2016","ELISA","IgM",TRUE,200,1,1
-7.248056,10.52389,"Mali","Soromba","Homo sapiens",NA,NA,NA,1,200,0.005,"Sogoba_Rosenke_2016","ELISA","IgM",TRUE,200,1,1
-9.785626,7.513232,"Liberia","Gbanwei","Homo sapiens",NA,NA,NA,32,391,0.0818414322250639,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,391,32,1
-9.785626,7.513232,"Liberia","Gbanwei","Homo sapiens",NA,NA,NA,13,162,0.0802469135802469,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,162,13,1
-9.7228,7.440117,"Liberia","Yapoa","Homo sapiens",NA,NA,NA,2,212,0.00943396226415094,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,212,2,1
-9.520278,7.91,"Liberia","Zuwulo","Homo sapiens",NA,NA,NA,12,293,0.0409556313993174,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,293,12,1
-9.520278,7.91,"Liberia","Zuwulo","Homo sapiens",NA,NA,NA,6,128,0.046875,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,128,6,1
-10.06698,7.581362,"Liberia","Balagualazu","Homo sapiens",NA,NA,NA,12,392,0.0306122448979592,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,392,12,1
-10.21,8.36,"Liberia","Foya Kamara","Homo sapiens",NA,NA,NA,12,85,0.141176470588235,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,85,12,1
-10.673393,8.141355,"Liberia","Borlelo","Homo sapiens",NA,NA,NA,7,138,0.0507246376811594,"Yalley-Ogunro_Frame_1984","IFA","IgG",TRUE,138,7,1
-9.48,8.03,"Liberia","Zigida","Homo sapiens",NA,NA,NA,4,133,0.0300751879699248,"Monath_Mertens_1973","CF",NA,TRUE,133,4,1
-11.2166667,8.2,"Sierra Leone","hospital","Homo sapiens",NA,NA,NA,0,49,0,"Fraser_Campbell_1974","CF","IgG, IgM",TRUE,49,0,0
-11.2833333,8.45,"Sierra Leone","hospital","Homo sapiens",NA,NA,NA,16,206,0.0776699029126214,"Fraser_Campbell_1974","CF","IgG, IgM",TRUE,206,16,1
