"Country"	"Year"	"Locality"	"Diagnosis"	"Reference"	"Full_Reference"	"DOI"	"bibtex"	"Latitude"	"Longitude"	"Genus"	"Species"
"Senegal"	1990	"Bransan"	"morpho + électrophorèse"	"Duplantier et al. 1990"	"Duplantier JM, Britton‐Davidian J, Granjon L. Chromosomal characterization of three species of the genus Mastomys in Senegal. Journal of Zoological Systematics and Evolutionary Research. 1990 Dec;28(4):289-98."	"10.1111/j.1439-0469.1990.tb00383.x"	"duplantier1990chromosomal"	"13.27"	"-12.10"	"Mastomys"	"Mastomys natalensis"
"Benin"	2001	"Koto"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"6.98"	"2.15"	"Mastomys"	"Mastomys natalensis"
"Benin"	2004	"Lanta"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"7.10"	"1.86"	"Mastomys"	"Mastomys natalensis"
"Benin"	2006	"Mekrou"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.40"	"2.20"	"Mastomys"	"Mastomys natalensis"
"Benin"	2006	"Tianwakassa"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"10.73"	"1.38"	"Mastomys"	"Mastomys natalensis"
"Benin"	2006	"Tiele"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"10.71"	"1.22"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2004	"Markoye"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"14.63"	"0.03"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2005	"Bossora-Daga"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.73"	"-4.13"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2005	"Karfiguela"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"10.70"	"-4.81"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2005	"Nazinga"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.18"	"-1.63"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2005	"Toma-île"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"13.13"	"-3.46"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Koro"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.10"	"-4.23"	"Mastomys"	"Mastomys natalensis"
"Burkina Faso"	2006	"Kourouma"	"morpho + PCR cytb"	"Duplantier et al. 2009"	"Granjon, Laurent, and Jean-Marc Duplantier. Rodents of Sahelo-Sudanese Africa . 2009."	"NA"	"granjon2009rongeurs"	"11.61"	"-4.80"	"Mastomys"	"Mastomys natalensis"
