"Latitude","Longitude","Country","Species","Year","min.Year","max.Year","Presence","genbank","Genus","uID","Elev","Tmu","Pmu","Nmu","Pcv","Ncv","Pc","Pm","Nc","Nm","Pmin","Pmax","Nmin","Nmax","Pdur","Ndur","Pop","Water_Bodies","Evergreen_Broadleaf_Forest","Open_Shrubland","Woody_Savanna","Savannas","Grasslands","Permanent_Wetlands","Croplands","Urban_BuiltUp","Cropland_Natural_Mosaic","Barren"
12.1249995841855,-8.32499982551863,"Mali","Mastomys natalensis",2009,2009,2009,1,FALSE,NA,NA,356.998321533203,32.4164886474609,2.77120447158813,0.410102218389511,1.25690042972565,0.343840032815933,0.512370109558105,0.278606861829758,0.26632285118103,0.357262343168259,0,9.8418083190918,0.251284122467041,0.627825558185577,6.05263137817383,8.00001239776611,188.477508544922,0,0,0,0,0,0.925925731658936,0,0.0740742981433868,0,0,0
12.0749995834414,-8.32499982551863,"Mali","Mastomys natalensis",2009,2009,2009,1,FALSE,NA,NA,320.750030517578,31.8565769195557,2.82475638389587,0.393875896930695,1.24005556106567,0.312229752540588,0.510775089263916,0.272201120853424,0.266553968191147,0.360939264297485,0,9.94861793518066,0.248094767332077,0.576884627342224,5.84210538864136,8.63157367706299,14.1498136520386,0,0,0,0,0,0.888888418674469,0,0.111111596226692,0,0,0
10.9749995670727,-7.42499981210582,"Mali","Mastomys natalensis",2011,2011,2011,1,FALSE,NA,NA,349.250030517578,33.905818939209,3.09829020500183,0.441696405410767,1.1456561088562,0.313569724559784,0.491261452436447,0.299207508563995,0.264240711927414,0.376172065734863,0.00544244656339288,9.77199745178223,0.289105653762817,0.656558275222778,5.31578969955444,7.63156890869141,288.384857177734,0,0,0,0,0,1,0,0,0,0,0
10.9249995663286,-7.42499981210582,"Mali","Mastomys natalensis",2011,2011,2011,1,FALSE,NA,NA,360.750152587891,33.2351989746094,3.18067288398743,0.486835271120071,1.13798475265503,0.277815639972687,0.484362483024597,0.308063179254532,0.253365576267242,0.369751751422882,0.00596186192706227,10.0833015441895,0.327363282442093,0.688821196556091,5.36842107772827,6.84209823608398,39.2030410766602,0,0,0,0,0,1,0,0,0,0,0
10.6249995618644,-7.17499980838003,"Mali","Mastomys natalensis",2011,2010,2012,1,FALSE,NA,NA,377.250030517578,32.1758651733398,3.10654044151306,0.524558901786804,1.13261234760284,0.255195528268814,0.481183797121048,0.318692207336426,0.233861446380615,0.364436417818069,0.00720162689685822,10.4476070404053,0.347179085016251,0.710910618305206,5.10526323318481,5.57894134521484,53.1158332824707,0,0,0,0,0.0493827424943447,0.950617253780365,0,0,0,0,0
10.5249995603764,-7.22499980912519,"Mali","Mastomys natalensis",2012,2012,2012,1,FALSE,NA,NA,403.75,31.8812885284424,3.20074534416199,0.531211614608765,1.10697853565216,0.242067202925682,0.469954937696457,0.319402992725372,0.237624570727348,0.368848025798798,0.00901878345757723,10.5166664123535,0.356326341629028,0.710900008678436,5.05263137817383,5.47367906570435,22.1449508666992,0,0,0,0,0.283951342105865,0.716048657894135,0,0,0,0,0
10.3749995581442,-7.17499980838003,"Mali","Mastomys natalensis",2012,2012,2012,1,FALSE,NA,NA,422.750030517578,31.2588386535645,3.31057691574097,0.558857142925262,1.08458828926086,0.192026257514954,0.454452663660049,0.326627165079117,0.274435013532639,0.334378302097321,0.0166076123714447,10.5576887130737,0.403110533952713,0.702657997608185,4.94736862182617,3.89473533630371,17.7678241729736,0,0,0,0,0.53086531162262,0.469134658575058,0,0,0,0,0
10.3749995581442,-7.27499980987035,"Mali","Mastomys natalensis",2012,2012,2012,1,FALSE,NA,NA,426.250030517578,31.03542137146,3.39099717140198,0.54991739988327,1.08493590354919,0.207074835896492,0.450757712125778,0.321220904588699,0.257974535226822,0.367363154888153,0.0104694934561849,10.7480449676514,0.390315771102905,0.704657912254333,5,4.52631330490112,9.21197319030762,0,0,0,0,0.851851880550385,0.148148104548454,0,0,0,0,0
10.6749995626085,-7.37499981136066,"Mali","Mastomys natalensis",2012,2012,2012,1,FALSE,NA,NA,382.5,32.3654670715332,3.20837640762329,0.512803137302399,1.11638796329498,0.260378539562225,0.479346394538879,0.315062940120697,0.241472229361534,0.375053882598877,0.00819505658000708,10.2965469360352,0.340121239423752,0.700373709201813,5.21052646636963,5.78947162628174,110.586380004883,0,0,0,0,0.197531715035439,0.802468299865723,0,0,0,0,0
11.8749995804653,-13.9249999089762,"Guinea-Bissau","Gerbilliscus guineae",2013,2013,2013,0,FALSE,"Gerbilliscus",NA,105.499801635742,32.7251358032227,4.30577659606934,0.533857107162476,1.31893622875214,0.288476884365082,0.470749080181122,0.304423183202744,0.238868206739426,0.385870307683945,0,15.9826374053955,0.355247616767883,0.760505437850952,6.15789461135864,5.6842041015625,4.5124773979187,0,0,0,0,1,0,0,0,0,0,0
